image_url,current_filename,pages_found_on,best_current_alt,suggested_filename,suggested_alt
https://brushonblock.com/cdn/shop/articles/1.png,1.png,https://brushonblock.com/blogs/news/earth-day-is-turning-50; https://brushonblock.com/blogs/news/festivals; https://brushonblock.com/blogs/news/teaching-your-children-to-apply-sunscreen,BRUSH ON BLOCK® Earth Day image,brush-on-block-earth-day-image.png,BRUSH ON BLOCK® Earth Day image
https://brushonblock.com/cdn/shop/articles/2023-blog-banner.png,2023-blog-banner.png,https://brushonblock.com/blogs/news/i-will-wear-my-sunscreen-every-day-and-other-2023-resolutions; https://brushonblock.com/blogs/news/introducing-bob-kids-sun-balm-spf-40; https://brushonblock.com/blogs/news/understanding-our-icons,2023 resolutions,brush-on-block-2023-resolutions.png,2023 resolutions
https://brushonblock.com/cdn/shop/articles/2_products.jpg,2_products.jpg,https://brushonblock.com/blogs/news/learn-about-the-drug-facts-on-your-sunscreen; https://brushonblock.com/blogs/news/we-challenge-you-to-wear-spf-30-every-day; https://brushonblock.com/blogs/news/what-is-spf,Brush On Block Mineral Powder Sunscreen SPF 30 with Brush On Block SPF 30 Mineral Sunscreen Lotion and a Portland Timbers ball cap.,brush-on-block-mineral-powder-sunscreen-spf-30-with-spf-30-mineral.jpg,Brush On Block Mineral Powder Sunscreen SPF 30 with Brush On Block SPF 30 Mineral Sunscreen Lotion and a Portland Timbers ball cap.
https://brushonblock.com/cdn/shop/articles/41.png,41.png,https://brushonblock.com/blogs/news/summer-sunscreen-checklist-things-to-remember; https://brushonblock.com/blogs/news/sunscreen-testing-what-it-means-to-consumers; https://brushonblock.com/blogs/news/welcome-to-summer-playlist,Man in kayak using Brush On Block sunscreen,brush-on-block-man-in-kayak-using-sunscreen.png,Man in kayak using Brush On Block sunscreen
https://brushonblock.com/cdn/shop/articles/44269373_1454786614624444_8086850826212999168_n.jpg,44269373_1454786614624444_8086850826212999168_n.jpg,https://brushonblock.com/blogs/news/importance-of-wearing-sunscreen-in-the-fall-and-winter-months; https://brushonblock.com/blogs/news/three-favorite-pumpkin-treats-for-your-skin; https://brushonblock.com/blogs/news/vegan-makeup-for-animal-lovers,Brush On Block image of fall fashions,brush-on-block-image-of-fall-fashions.jpg,Brush On Block image of fall fashions
https://brushonblock.com/cdn/shop/articles/63.png,63.png,https://brushonblock.com/blogs/news/our-refreshed-brush-makes-its-debut; https://brushonblock.com/blogs/news/sun-protection-and-fall-sports; https://brushonblock.com/blogs/news/sunscreen-every-day,Our Refreshed Brush Makes Its Debut!,brush-on-block-our-refreshed-brush-makes-its-debut.png,Our Refreshed Brush Makes Its Debut!
https://brushonblock.com/cdn/shop/articles/7.png,7.png,https://brushonblock.com/blogs/news/differences; https://brushonblock.com/blogs/news/summer-sunscreen-checklist-things-to-remember; https://brushonblock.com/blogs/news/welcome-to-summer-playlist,Playlist: Welcome to Summer,brush-on-block-playlist-welcome-to-summer.png,Playlist: Welcome to Summer
https://brushonblock.com/cdn/shop/articles/AdobeStock_166436318.jpeg,AdobeStock_166436318.jpeg,https://brushonblock.com/blogs/news/sun-care-q-a-with-dermatologist-dr-carly-roman; https://brushonblock.com/blogs/news/sun-care-q-a-with-dermatologists-lauren-and-brooke-the-skin-sisters; https://brushonblock.com/blogs/news/sunscreen-101-expiration-dates,Brush On Block Sunscreen Expiration Dates,brush-on-block-sunscreen-expiration-dates.jpeg,Brush On Block Sunscreen Expiration Dates
https://brushonblock.com/cdn/shop/articles/AdobeStock_169943147_feb7643c-2363-43d2-b1de-98b3b44685c3.jpeg,AdobeStock_169943147_feb7643c-2363-43d2-b1de-98b3b44685c3.jpeg,https://brushonblock.com/blogs/news/sun-care-q-a-with-dermatologist-dr-carly-roman; https://brushonblock.com/blogs/news/sun-care-q-a-with-dermatologist-the-derm-fox; https://brushonblock.com/blogs/news/sunscreen-101,Sunscreen 101 — What Do SPF Numbers Mean?,brush-on-block-sunscreen-101-what-do-spf-numbers-mean.jpeg,Sunscreen 101 — What Do SPF Numbers Mean?
https://brushonblock.com/cdn/shop/articles/Ardess_Survivor.jpg,Ardess_Survivor.jpg,https://brushonblock.com/blogs/news/a-survivors-story; https://brushonblock.com/blogs/news/fathers-day-skincare-gift-guide; https://brushonblock.com/blogs/news/sun-protection-tips-part-3,A Survivors Story I,brush-on-block-a-survivors-story-i.jpg,A Survivors Story I
https://brushonblock.com/cdn/shop/articles/Aus_SPF_Aware_blog_header_df397716-f998-4ee8-9540-36dd0689dbcb.jpg,Aus_SPF_Aware_blog_header_df397716-f998-4ee8-9540-36dd0689dbcb.jpg,https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/how-australia-pushed-back-on-skin-cancer; https://brushonblock.com/blogs/news/sun-protection-for-kids-a-dermatologist-moms-guide; https://brushonblock.com/blogs/news/who-s-the-new-girl-meet-peony,How Australia Took on Skin Cancer,brush-on-block-how-australia-took-on-skin-cancer.jpg,How Australia Took on Skin Cancer
https://brushonblock.com/cdn/shop/articles/B2S.png,B2S.png,https://brushonblock.com/blogs/news/be-prepared-with-must-haves-for-back-to-school-backpacks; https://brushonblock.com/blogs/news/ocean-friendly-blog-post-title; https://brushonblock.com/blogs/news/vegan-makeup-for-animal-lovers,Image Brush On Block® sticking out of backpack,brush-on-block-image-sticking-out-of-backpack.png,Image Brush On Block® sticking out of backpack
