rank,image_url,current_filename,suggested_filename,pages_count,pages_sample,scope,decorative,best_current_alt,suggested_alt,priority_reasons,recommended_action
1,https://cdn.shopify.com/s/files/1/0408/3481/files/star_star_star_star_star.svg,star_star_star_star_star.svg,brush-on-block-stars.svg,26,https://brushonblock.com/; https://brushonblock.com/pages/why-use-brush-on-block-mineral-powder-sunscreen; https://brushonblock.com/products/bob-kids-duo,homepage,yes,Stars,,"homepage, sitewide component, decorative should be empty, underscores in name","Ensure alt="""" (decorative). No rename needed."
2,https://brushonblock.com/cdn/shop/files/BOB_logo_horiz_2022_SVG_1.svg,BOB_logo_horiz_2022_SVG_1.svg,brush-on-block-men-sun-care-why-you-should-encourage-the-men.svg,314,https://brushonblock.com/; https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/117644612-true-or-false-mythbusting-skincare-home-remedies,homepage,yes,,,"homepage, sitewide component, uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
3,https://brushonblock.com/cdn/shop/files/KIDS_essentials_Mega.png,KIDS_essentials_Mega.png,brush-on-block-men-sun-care-why-you-should-encourage-the-men.png,314,https://brushonblock.com/; https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/117644612-true-or-false-mythbusting-skincare-home-remedies,homepage,yes,,,"homepage, sitewide component, uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
4,https://brushonblock.com/cdn/shop/files/TOT_refill.png,TOT_refill.png,brush-on-block-men-sun-care-why-you-should-encourage-the-men.png,314,https://brushonblock.com/; https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/117644612-true-or-false-mythbusting-skincare-home-remedies,homepage,yes,,,"homepage, sitewide component, uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
5,https://cdn.shopify.com/s/files/1/0408/3481/files/BOB_logo_horiz_2022_SVG_1_1.svg,BOB_logo_horiz_2022_SVG_1_1.svg,brush-on-block-brushonblockcom.svg,314,https://brushonblock.com/; https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/117644612-true-or-false-mythbusting-skincare-home-remedies,homepage,no,Brush on Block,Brush on Block,"homepage, sitewide component, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
6,https://brushonblock.com/cdn/shop/articles/PCT_header.jpg,PCT_header.jpg,brush-on-block-emma-wetsel-at-thousand-island-lake-ansel-adams-wilderness.jpg,36,https://brushonblock.com/; https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/2-650-miles-under-the-sun-on-the-pacific-crest-trail,homepage,no,"Emma Wetsel at Thousand Island Lake, Ansel Adams Wilderness, Mile 924 of the Pacific Crest Trail.","Emma Wetsel at Thousand Island Lake, Ansel Adams Wilderness, Mile 924 of the Pacific Crest Trail.","homepage, sitewide component, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
7,https://brushonblock.com/cdn/shop/files/spf_30_0a3c767b-f416-4ef1-bd64-cdccaee5d57b.png,spf_30_0a3c767b-f416-4ef1-bd64-cdccaee5d57b.png,brush-on-block-men-sun-care-why-you-should-encourage-the-men.png,314,https://brushonblock.com/; https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/117644612-true-or-false-mythbusting-skincare-home-remedies,homepage,yes,,,"homepage, sitewide component, underscores in name","Ensure alt="""" (decorative). No rename needed."
8,https://brushonblock.com/cdn/shop/articles/blog-hydration-poolside_aa1c8d06-13da-471f-8b9e-40d71f4b095d.jpg,blog-hydration-poolside_aa1c8d06-13da-471f-8b9e-40d71f4b095d.jpg,brush-on-block-how-to-get-poolside-skin-this-summer.jpg,37,https://brushonblock.com/; https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/2-650-miles-under-the-sun-on-the-pacific-crest-trail,homepage,no,How to get Poolside Skin this Summer,How to get Poolside Skin this Summer,"homepage, sitewide component, underscores in name",Optional: re-upload with SEO filename; update content references.
9,https://brushonblock.com/cdn/shop/articles/peony_blog_f1bd212e-b35f-4bbd-b03a-fe30b05a7780.png,peony_blog_f1bd212e-b35f-4bbd-b03a-fe30b05a7780.png,brush-on-block-sun-shine-spf-30-protective-lip-oil---peony.png,37,https://brushonblock.com/; https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/how-australia-pushed-back-on-skin-cancer,homepage,no,Sun Shine SPF 30 Protective Lip Oil - Peony,Sun Shine SPF 30 Protective Lip Oil - Peony,"homepage, sitewide component, underscores in name",Optional: re-upload with SEO filename; update content references.
10,https://cdn.shopify.com/s/files/1/0408/3481/files/logo-peta.png,logo-peta.png,brush-on-block-logo.png,314,https://brushonblock.com/; https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/117644612-true-or-false-mythbusting-skincare-home-remedies,homepage,no,Peta,Brush On Block logo,"homepage, sitewide component",Optional: re-upload with SEO filename; update content references.
