image_url,current_filename,suggested_filename,scope,reason_for_rename,recommended_steps,pages_count,pages_sample
https://cdn.shopify.com/s/files/1/0408/3481/files/star_star_star_star_star.svg,star_star_star_star_star.svg,brush-on-block-stars.svg,homepage,underscores,Re-upload media with suggested filename; update content references (product media or rich text).,26,https://brushonblock.com/; https://brushonblock.com/pages/why-use-brush-on-block-mineral-powder-sunscreen; https://brushonblock.com/products/bob-kids-duo
https://brushonblock.com/cdn/shop/files/BOB_logo_horiz_2022_SVG_1.svg,BOB_logo_horiz_2022_SVG_1.svg,brush-on-block-men-sun-care-why-you-should-encourage-the-men.svg,homepage,"uppercase, underscores",Re-upload media with suggested filename; update content references (product media or rich text).,314,https://brushonblock.com/; https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/117644612-true-or-false-mythbusting-skincare-home-remedies
https://brushonblock.com/cdn/shop/files/KIDS_essentials_Mega.png,KIDS_essentials_Mega.png,brush-on-block-men-sun-care-why-you-should-encourage-the-men.png,homepage,"uppercase, underscores",Re-upload media with suggested filename; update content references (product media or rich text).,314,https://brushonblock.com/; https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/117644612-true-or-false-mythbusting-skincare-home-remedies
https://brushonblock.com/cdn/shop/files/TOT_refill.png,TOT_refill.png,brush-on-block-men-sun-care-why-you-should-encourage-the-men.png,homepage,"uppercase, underscores",Re-upload media with suggested filename; update content references (product media or rich text).,314,https://brushonblock.com/; https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/117644612-true-or-false-mythbusting-skincare-home-remedies
https://cdn.shopify.com/s/files/1/0408/3481/files/BOB_logo_horiz_2022_SVG_1_1.svg,BOB_logo_horiz_2022_SVG_1_1.svg,brush-on-block-brushonblockcom.svg,homepage,"uppercase, underscores",Re-upload media with suggested filename; update content references (product media or rich text).,314,https://brushonblock.com/; https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/117644612-true-or-false-mythbusting-skincare-home-remedies
https://brushonblock.com/cdn/shop/articles/PCT_header.jpg,PCT_header.jpg,brush-on-block-emma-wetsel-at-thousand-island-lake-ansel-adams-wilderness.jpg,homepage,"uppercase, underscores",Re-upload media with suggested filename; update content references (product media or rich text).,36,https://brushonblock.com/; https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/2-650-miles-under-the-sun-on-the-pacific-crest-trail
https://brushonblock.com/cdn/shop/files/spf_30_0a3c767b-f416-4ef1-bd64-cdccaee5d57b.png,spf_30_0a3c767b-f416-4ef1-bd64-cdccaee5d57b.png,brush-on-block-men-sun-care-why-you-should-encourage-the-men.png,homepage,underscores,Re-upload media with suggested filename; update content references (product media or rich text).,314,https://brushonblock.com/; https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/117644612-true-or-false-mythbusting-skincare-home-remedies
https://brushonblock.com/cdn/shop/articles/blog-hydration-poolside_aa1c8d06-13da-471f-8b9e-40d71f4b095d.jpg,blog-hydration-poolside_aa1c8d06-13da-471f-8b9e-40d71f4b095d.jpg,brush-on-block-how-to-get-poolside-skin-this-summer.jpg,homepage,underscores,Re-upload media with suggested filename; update content references (product media or rich text).,37,https://brushonblock.com/; https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/2-650-miles-under-the-sun-on-the-pacific-crest-trail
https://brushonblock.com/cdn/shop/articles/peony_blog_f1bd212e-b35f-4bbd-b03a-fe30b05a7780.png,peony_blog_f1bd212e-b35f-4bbd-b03a-fe30b05a7780.png,brush-on-block-sun-shine-spf-30-protective-lip-oil---peony.png,homepage,underscores,Re-upload media with suggested filename; update content references (product media or rich text).,37,https://brushonblock.com/; https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/how-australia-pushed-back-on-skin-cancer
https://brushonblock.com/cdn/shop/files/BOB_KIDS_essentials.jpg,BOB_KIDS_essentials.jpg,brush-on-block-bob-kids-spf-essentials-kit.jpg,homepage,"uppercase, underscores",Re-upload media with suggested filename; update content references (product media or rich text).,9,https://brushonblock.com/; https://brushonblock.com/collections/all; https://brushonblock.com/collections/kids
