rank,page_url,total_images,missing_alt_content,alt_should_be_empty,decorative_count
1,https://brushonblock.com/pages/press-archive-brush-on-block,109,0,0,18
2,https://brushonblock.com/,76,0,2,28
3,https://brushonblock.com/products/sun-shine-spf-30-protective-lip-oil-1,68,0,1,16
4,https://brushonblock.com/collections/all,58,0,0,7
5,https://brushonblock.com/products/full-face-kit-spf-30,47,0,1,11
6,https://brushonblock.com/collections/sale,44,0,0,7
7,https://brushonblock.com/products/touch-of-tan-mineral-powder-sunscreen-refill-spf-30,41,0,1,20
8,https://brushonblock.com/products/brush-on-block-spf-50-brush-refill-set,41,0,1,19
9,https://brushonblock.com/products/bob-kids-sunscreen-essentials-kit,40,0,0,12
10,https://brushonblock.com/products/brush-on-block-refill,39,0,1,18
11,https://brushonblock.com/products/bob-kids-sun-balm-spf-40-broad-spectrum-sunscreen,39,0,1,19
12,https://brushonblock.com/products/brush-on-block-translucent-mineral-powder-sunscreen-spf-50,39,0,1,16
13,https://brushonblock.com/products/quick-stick-spf-40-mineral-sunscreen,39,0,1,18
14,https://brushonblock.com/products/sheer-genius-universal-tint-spf-50-mineral-sunscreen-moisture,39,0,1,17
15,https://brushonblock.com/products/brush-on-block-touch-of-tan-spf-30-brush-refill-set,39,0,1,24
16,https://brushonblock.com/products/sun-shine-spf-30-protective-lip-oil-duo,38,0,1,18
17,https://brushonblock.com/products/brush-on-block,37,0,1,15
18,https://brushonblock.com/products/bob-kids-spf-30,37,0,1,17
19,https://brushonblock.com/products/sheer-genius-mineral-sunscreen-moisture-spf-50,37,0,1,17
20,https://brushonblock.com/products/bob-kids-spf-50-spray-on-lotion-sunscreen,37,0,1,17
21,https://brushonblock.com/products/sol-spf-50-spray-on-lotion-sunscreen,37,0,1,17
22,https://brushonblock.com/products/spf-essentials-kit,37,0,0,10
23,https://brushonblock.com/products/brush-on-block-spf-30-brush-refill-set,37,0,1,20
24,https://brushonblock.com/products/brush-on-block-nobody-s-perfect-daily-repair-oil,36,0,1,15
25,https://brushonblock.com/products/brush-on-block-tinted,35,0,1,17
26,https://brushonblock.com/products/brush-on-block-duo-translucent-powder-sunscreens-2,35,0,1,13
27,https://brushonblock.com/products/bob-kids-duo,35,0,1,13
28,https://brushonblock.com/products/translucent-mineral-powder-sunscreen-refill-spf-50,35,0,1,23
29,https://brushonblock.com/products/bounce-butter-spf-30-mineral-sunscreen-moisturizing-mousse-for-the-body,34,0,1,12
30,https://brushonblock.com/collections/lotions-moisturizers,34,0,0,7
31,https://brushonblock.com/collections/new-arrivals,34,0,0,7
32,https://brushonblock.com/products/brush-on-block-spf-50-50-duo,33,0,1,11
33,https://brushonblock.com/collections/sunscreen,32,0,0,7
34,https://brushonblock.com/pages/press-2-brush-on-block,31,0,0,8
35,https://brushonblock.com/collections/kits,30,0,0,7
36,https://brushonblock.com/collections/best-sellers,28,0,0,7
37,https://brushonblock.com/products/brush-on-block-gift-card,25,0,0,8
38,https://brushonblock.com/products/see-you-out-there-hat,25,0,0,7
