page_url,image_url,current_filename,current_alt,suggested_alt,suggested_filename
https://brushonblock.com/pages/press-archive-brush-on-block,https://brushonblock.com/cdn/shop/files/spf_30_0a3c767b-f416-4ef1-bd64-cdccaee5d57b.png?v=1739482685&width=541,spf_30_0a3c767b-f416-4ef1-bd64-cdccaee5d57b.png,,,brush-on-block-press-archive.png
https://brushonblock.com/pages/press-archive-brush-on-block,https://brushonblock.com/cdn/shop/files/TOT_refill.png?v=1752732979&width=541,TOT_refill.png,,,brush-on-block-press-archive.png
https://brushonblock.com/pages/press-archive-brush-on-block,https://brushonblock.com/cdn/shop/files/KIDS_essentials_Mega.png?v=1749102861&width=542,KIDS_essentials_Mega.png,,,brush-on-block-press-archive.png
https://brushonblock.com/pages/press-archive-brush-on-block,https://brushonblock.com/cdn/shop/files/BOB_logo_horiz_2022_SVG_1.svg?v=1735015141&width=430,BOB_logo_horiz_2022_SVG_1.svg,,,brush-on-block-press-archive.svg
https://brushonblock.com/pages/press-archive-brush-on-block,https://brushonblock.com/cdn/shop/files/spf_30_0a3c767b-f416-4ef1-bd64-cdccaee5d57b.png?v=1739482685&width=541,spf_30_0a3c767b-f416-4ef1-bd64-cdccaee5d57b.png,,,brush-on-block-press-archive.png
https://brushonblock.com/pages/press-archive-brush-on-block,https://brushonblock.com/cdn/shop/files/TOT_refill.png?v=1752732979&width=541,TOT_refill.png,,,brush-on-block-press-archive.png
https://brushonblock.com/pages/press-archive-brush-on-block,https://brushonblock.com/cdn/shop/files/KIDS_essentials_Mega.png?v=1749102861&width=542,KIDS_essentials_Mega.png,,,brush-on-block-press-archive.png
https://brushonblock.com/pages/press-archive-brush-on-block,https://cdn.shopify.com/s/files/1/0408/3481/files/Brush_On_Block_Camille_Styles_March_2025.jpg?v=1742847386,Brush_On_Block_Camille_Styles_March_2025.jpg,"Camille Styles - Rosacea-Friendly Skincare: The Best Products for Redness, Irritation, and Flare-Ups","Camille Styles - Rosacea-Friendly Skincare: The Best Products for Redness, Irritation, and Flare-Ups",brush-on-block-camille-styles---rosacea-friendly-skincare-the-best-products-for.jpg
https://brushonblock.com/pages/press-archive-brush-on-block,https://brushonblock.com/cdn/shop/files/BOB_Cosmetics_oiletries_Mar_2025.jpg?v=1742250882,BOB_Cosmetics_oiletries_Mar_2025.jpg,,,brush-on-block-press-archive.jpg
https://brushonblock.com/pages/press-archive-brush-on-block,https://brushonblock.com/cdn/shop/files/Brush_On_Block_Glamour_March_2025.jpg?v=1742251635,Brush_On_Block_Glamour_March_2025.jpg,,,brush-on-block-press-archive.jpg
https://brushonblock.com/pages/press-archive-brush-on-block,https://cdn.shopify.com/s/files/1/0408/3481/files/Brush_On_Block_BuzzFeed_Mar_2025.jpg?v=1741849697,Brush_On_Block_BuzzFeed_Mar_2025.jpg,,,brush-on-block-press-archive.jpg
